ITEM_CODE,DRUG_NAME,FORM/STRENGTH,ATC5_Code,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07
01027C,CLOTRIMAZOLE,"Lotion 10 mg per mL, 20 mL",D01AC01,,,,,,,,,,,,,,,,,,,,,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.57,16.74,16.86,16.86,16.86,16.86,16.86,16.86,16.86,16.86,16.86,16.86,16.86,17.23,17.93,17.93,17.93,17.93,17.93,17.93,17.93,17.93,19.27,19.27,19.27,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,
01029E,ALTEPLASE,"Injection set containing 1 vial 50 mg in 2.333 g dry powder, 1 vial sterile water for injection 50 mL and 1 transfer cannula",B01AD02,2157.48,2157.48,2157.48,2157.48,2157.48,2157.48,2157.48,2157.48,2157.53,2157.53,2157.53,2157.53,2157.53,2157.53,2157.53,2157.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01031G,CYCLOPHOSPHAMIDE,Powder for injection 2 g (anhydrous) (with any determined brand of sodium chloride injection as the required solvent),L01AA01,40.97,40.97,40.97,40.97,40.97,40.97,40.97,40.97,41.02,41.02,41.02,41.02,41.02,41.02,41.02,41.02,41.21,41.21,41.21,41.21,40.24,40.24,40.24,40.24,40.24,40.24,40.24,40.24,40.24,40.24,40.24,40.41,40.53,40.53,40.53,40.53,40.53,40.53,40.53,40.53,40.53,40.53,40.53,40.9,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,,,,,,,,
01034K,TERBUTALINE,Injection containing terbutaline sulfate 500 micrograms in 1 mL,R03CC03,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.73,22.73,22.73,22.73,27.52,27.52,27.52,27.52,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.44,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.93,30.16,30.16,30.16,30.16,30.16,30.16,30.16,30.16,30.16,30.16,30.16,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.69
01036M,AMINOGLUTETHIMIDE,Tablet 250 mg,L02BG01,162.99,162.99,162.99,162.99,162.99,162.99,162.99,162.99,163.04,163.04,163.04,163.04,163.04,163.04,163.04,163.04,163.23,163.23,163.23,163.23,158.33,158.33,158.33,158.33,158.33,158.33,158.33,158.33,158.33,158.33,158.33,158.5,158.62,158.62,158.62,158.62,158.62,158.62,158.62,158.62,158.62,158.62,158.62,158.99,159.17,159.17,159.17,159.17,159.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01037N,OLANZAPINE,Tablet 5 mg (as benzoate),N05AH03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.41,84.41,84.41,84.51
01041T,OLANZAPINE,Tablet 7.5 mg (as benzoate),N05AH03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.6,124.6,124.6,124.7
01042W,OLANZAPINE,Tablet 10 mg (as benzoate),N05AH03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,164.0,164.0,164.1
01046C,FLUPHENAZINE DECANOATE,Injection 12.5 mg in 0.5 mL ampoule,N05AB02,17.35,17.35,17.35,17.35,17.35,17.35,17.35,17.35,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.59,17.59,17.59,17.59,17.39,17.39,17.39,17.39,17.39,17.39,17.39,17.39,17.39,17.39,17.39,17.56,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,18.05,18.79,18.79,18.79,18.79,18.79,18.79,18.79,18.79,18.79,18.79,18.79,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.32
01047D,AMPHOTERICIN B,Powder for injection 50 mg,J02AA01,23.25,23.25,23.25,23.25,27.62,27.62,27.62,27.62,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.86,27.86,27.86,27.86,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.51,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,32.45,32.45,32.45,32.82,34.22,34.22,34.22,34.22,34.22,34.22,34.22,34.22,34.22,34.22,34.22,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,,,,,,,,,,,,,,,,,,,,,,,,
01048E,AMPICILLIN,Capsule 250 mg (as trihydrate),J01CA01,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.78,8.78,8.78,8.78,8.87,8.87,8.87,8.87,8.87,8.87,8.87,8.87,8.87,8.87,8.87,9.04,9.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01052J,ACICLOVIR,Tablet 800 mg,J05AB01,222.97,222.97,222.97,222.97,222.97,222.97,222.97,222.97,223.02,223.02,223.02,223.02,223.02,223.02,223.02,223.02,223.21,223.21,223.21,223.21,191.68,191.68,191.68,191.68,191.68,191.68,191.68,191.68,191.68,191.68,191.68,191.85,191.97,191.97,191.97,191.97,191.97,191.97,191.97,191.97,191.97,191.97,191.97,192.34,145.89,145.89,145.89,145.89,145.89,145.89,145.89,145.89,145.89,145.89,145.89,146.32,146.32,146.32,146.32,146.32,146.32,146.32,146.32,146.32,146.32,146.32,146.32,146.32,146.32,146.32,146.32,146.32,146.32,146.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.42
01060T,VERAPAMIL,Injection containing verapamil hydrochloride 5 mg in 2 mL,C08DA01,10.59,10.59,10.59,10.59,10.59,10.59,10.59,10.59,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.83,10.83,10.83,10.83,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,11.02,11.14,11.14,11.14,11.14,11.14,11.14,11.14,11.14,11.14,11.14,11.14,11.51,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.38,12.48
01061W,ESTRADIOL,Injection 10 mg in 1 mL ampoule,G03CA03,62.43,62.43,62.43,62.43,62.43,62.43,62.43,62.43,62.48,62.48,62.48,62.48,62.48,62.48,62.48,62.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01062X,BETHANECHOL,Tablet containing bethanechol hydrochloride 10 mg,N07AB02,16.09,16.09,16.09,16.09,16.09,16.09,16.09,16.09,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.33,16.33,16.33,16.33,16.17,16.17,16.17,16.17,18.80,18.80,18.80,18.80,18.8,18.8,18.8,18.97,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.46,20.26,20.26,20.26,20.26,20.6,20.6,20.6,20.6,20.6,20.6,20.6,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.13
01065C,THIAMINE,Injection 100 mg in 1 mL ampoule,A11DA01,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01068F,GENTAMICIN,Injection equivalent to 40 mg gentamicin in 1 mL ampoule,J01GB03,27.44,27.44,27.44,27.44,27.44,27.44,27.44,27.44,27.49,27.49,27.49,27.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01070H,THIAMINE,Tablet containing thiamine hydrochloride 100 mg,A11DA01,,,,,,,,,,,,,,,,,,,,,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.53,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,10.02,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,10.82,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.6
01076P,HEPARIN,"Injection 35,000 units (as sodium) in 35 mL",B01AB01,106.34,106.34,106.34,106.34,148.46,148.46,148.46,148.46,148.51,148.51,148.51,148.51,148.51,148.51,148.51,148.51,148.70,148.70,148.70,148.70,144.23,144.23,144.23,144.23,144.23,144.23,144.23,144.23,208.91,208.91,208.91,209.08,209.2,209.2,209.2,209.2,209.2,209.2,209.2,209.2,209.2,209.2,209.2,209.57,209.75,209.75,209.75,209.75,278.15,278.15,278.15,278.15,278.15,278.15,278.15,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.68
01079T,CYCLOPHOSPHAMIDE,Powder for injection 500 mg (anhydrous) (with any determined brand of sodium chloride injection as the required solvent),L01AA01,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.83,27.83,27.83,27.83,27.83,27.83,27.83,27.83,28.02,28.02,28.02,28.02,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.49,27.66,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,28.15,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.76,29.76,29.76,29.76,29.76,29.76,29.76,29.76,29.76,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,,,,,,,,
01080W,CYCLOPHOSPHAMIDE,Powder for injection 1 g (anhydrous) (with any determined brand of sodium chloride injection as the required solvent),L01AA01,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.11,25.11,25.11,25.11,25.11,25.11,25.11,25.11,25.30,25.30,25.30,25.30,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,25.02,25.14,25.14,25.14,25.14,25.14,25.14,25.14,25.14,25.14,25.14,25.14,25.51,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,27.02,27.02,27.02,27.02,27.02,27.02,27.02,27.02,27.02,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,,,,,,,,
01081X,ATENOLOL,Tablet 50 mg,C07AB03,9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,10.01,10.01,10.01,10.01,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.23,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.72,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.08,10.08,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,8.81,8.81,8.81,8.91
01082Y,FILGRASTIM,Injection 300 micrograms in 0.5 mL single use pre-filled syringe (TevaGrastim),L03AA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2561.96,2561.96,2561.96,2561.96,2562.06
01085D,CEFOTAXIME,Powder for injection 1 g (as sodium),J01DD01,56.30,56.30,56.30,56.30,56.30,56.30,56.30,56.30,56.35,56.35,56.35,56.35,56.35,56.35,56.35,56.35,56.54,56.54,56.54,56.54,28.80,28.80,28.80,28.80,25.85,25.85,25.85,25.85,25.85,25.85,25.85,26.02,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.51,27.27,27.27,27.29,27.27,27.27,27.27,27.27,27.27,27.27,27.29,27.27,27.7,27.22,27.27,27.22,27.22,27.27,27.22,27.22,27.27,27.22,27.27,27.22,27.27,26.82,26.86,26.86,26.82,26.82,26.86,26.32,26.32,26.44,26.44,26.44,26.32,26.44,26.32,26.44,26.44,26.32,26.44,26.44,26.32,26.44,26.44,26.32,26.54
01086E,CEFOTAXIME,Powder for injection 2 g (as sodium),J01DD01,100.10,100.10,100.10,100.10,100.10,100.10,100.10,100.10,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.34,100.34,100.34,100.34,48.89,48.89,48.89,48.89,43.45,43.45,43.45,43.45,43.45,43.45,43.45,43.62,43.74,43.74,43.74,43.74,43.74,43.74,43.74,43.74,43.74,43.74,43.74,44.11,44.6,44.59,44.6,44.6,44.59,44.59,44.59,44.6,44.59,44.59,44.6,45.02,44.32,44.35,44.32,44.35,44.35,44.32,44.32,44.35,44.32,44.32,44.32,44.32,43.62,43.68,43.68,43.62,43.62,43.62,43.02,43.02,43.02,43.02,43.02,43.02,43.02,42.92,43.02,43.02,43.02,42.92,42.92,42.92,42.92,42.92,42.92,43.12
01088G,FLECAINIDE,Tablet containing flecainide acetate 50 mg,C01BC04,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.32,38.32,38.32,38.32,38.32,38.32,38.32,38.32,38.51,38.51,38.51,38.51,37.64,37.64,37.64,37.64,37.64,37.64,37.64,37.64,37.64,37.64,37.64,37.81,37.93,37.93,37.93,37.93,37.93,37.93,37.93,37.93,37.93,37.93,37.93,38.3,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.71,39.05,39.05,39.05,39.05,39.05,39.05,39.05,39.05,39.05,39.05,39.05,39.05,38.39,38.39,38.39,38.39,38.39,38.39,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.85
